id,price,description,category
1,9.99,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,beauty
2,19.99,The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.,beauty
3,14.99,The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.,beauty
4,12.99,The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.,beauty
5,8.99,The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.,beauty
6,49.99,CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.,fragrances
7,129.99,Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.,fragrances
8,89.99,J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.,fragrances
9,69.99,Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.,fragrances
10,79.99,Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.,fragrances
11,1899.99,The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.,furniture
12,2499.99,The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.,furniture
13,299.99,The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.,furniture
14,499.99,The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.,furniture
15,799.99,The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.,furniture
16,1.99,Fresh and crisp apples, perfect for snacking or incorporating into various recipes.,groceries
17,12.99,High-quality beef steak, great for grilling or cooking to your preferred level of doneness.,groceries
18,8.99,Nutritious cat food formulated to meet the dietary needs of your feline friend.,groceries
19,9.99,Fresh and tender chicken meat, suitable for various culinary preparations.,groceries
20,4.99,Versatile cooking oil suitable for frying, sautéing, and various culinary applications.,groceries
21,1.49,Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.,groceries
22,10.99,Specially formulated dog food designed to provide essential nutrients for your canine companion.,groceries
23,2.99,Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.,groceries
24,14.99,Quality fish steak, suitable for grilling, baking, or pan-searing.,groceries
25,1.29,Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.,groceries
26,0.99,Spicy green chili pepper, ideal for adding heat to your favorite recipes.,groceries
27,6.99,Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.,groceries
28,5.49,Creamy and delicious ice cream, available in various flavors for a delightful treat.,groceries
29,3.99,Refreshing fruit juice, packed with vitamins and great for staying hydrated.,groceries
30,2.49,Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.,groceries
